Country Code,Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
CUB,CUBA,"414,569",0,"1,150,159","2,698,440","4,200,423","1,676,679","2,072,251","1,476,772","1,413,158","2,864,636","3,709,068","1,979,690","1,177,022","1,596,926","1,076,953","1,392,441","858,593","1,967,522","3,906,422","4,358,556","2,638,228","1,938,053","1,288,729","961,491","2,388,634","2,728,112","1,601,539","886,990","427,962","261,754","685,036",0,0,0,0,0,0,0,0
CYP,CYPRUS,"17,930,120","11,216,888","10,734,814","18,246,595","17,381,062","5,533,042","7,145,695","3,407,935","2,725,376","1,227,701","1,348,752",0,"362,161","709,745","518,533","494,092","156,108","56,215","390,642","1,089,639","659,557","193,805","171,831","96,149",0,0,"1,351,699","3,459,260","1,563,597","1,201,666","2,644,974","1,615,728","1,122,664","1,087,710","3,966,313","4,415,386","5,733,383","1,929,334",
DEU,Germany,"10,364,231","10,259,348","12,779,541","23,129,487","26,071,593","9,221,736","11,433,111","9,655,815","7,570,490","14,323,181","13,262,727","8,191,820","5,885,111","7,097,448","4,786,456","5,390,094","2,992,065","5,621,492","8,333,699","7,004,822","4,748,811",0,0,0,0,0,0,0,,,,,,,,,,,
DZA,ALGERIA,"310,927","341,978","255,591","513,989","579,369","223,557","285,828","227,196","100,940","204,617","112,396","136,530","90,540","118,291","79,774","89,835","52,036","112,430",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
ECU,ECUADOR,"185,584","170,953","205,798","342,182","254,499","72,701","155,035","354,189","204,992","895,107","737,191","301,956",0,0,0,"17,019",0,0,0,0,0,0,0,0,"39,614","91,124","37,027","48,655",0,0,"13,306",0,0,"4,781","101,515","182,814","481,218","513,569","496,541"
ESP,SPAIN,"16,179,298","15,805,347","15,269,419","45,041,454","48,336,544","8,081,916","14,169,522","6,173,377",0,"19,591,362","23,574,677","2,784,767",0,0,0,0,0,0,"9,614,999","21,891,898","8,050,867","1,564,494","152,831",0,0,"9,764,231",0,"2,369,429",0,0,0,0,0,0,0,0,0,0,0
FIN,FINLAND,"32,025,474","19,492,762","22,236,401","49,085,911","53,157,082","21,685,052","29,797,547","26,525,092","23,619,929","42,048,766","41,361,724","26,077,292","17,293,173","22,297,816","12,285,237","12,576,886","6,738,651","11,130,554","26,303,239","22,571,094","16,620,838","11,337,613","8,763,357","5,336,273","10,907,819","13,354,108","7,415,925","7,539,414","2,850,966","2,521,482","7,305,359","4,281,242","4,452,315","6,482,754","24,106,000","39,324,277","93,702,151","106,602,230","108,748,425"
FRA,FRANCE,"310,927","205,187","319,489","513,989","579,369","279,447","357,285","170,397","50,470","102,308","112,396","68,265","45,270","59,145","79,774","89,835","78,054","168,645","390,642","311,325","395,734","290,708","85,915","48,075","143,318","234,618",0,0,,,,,,,,,,,
GBR,UNITED KINGDOM,0,0,"127,795","642,486","579,369","279,447","285,828","227,196","100,940",0,"224,792","477,856","271,621","414,018","279,210","269,505","156,108","449,719","911,498","778,314","1,187,203","193,805",0,0,0,0,0,0,,,,,,,,,,,
GRC,GREECE,0,0,"1,303,544","2,084,292","2,545,189","2,086,833","2,583,868","3,044,384","1,283,199",0,"155,435","111,353","87,075","199,683",0,"252,909","213,953","1,058,563",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
GTM,GUATEMALA,0,0,0,0,"2,549,288","2,375,339","3,071,080","1,860,149","1,986,077","3,128,339","1,100,016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
HTI,HAITI,"4,974,831","3,830,157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
HUN,HUNGARY,"1,036,423","683,957","638,977","1,284,971","1,738,106","950,118","214,371","113,598","50,470","102,308","112,396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
IDN,INDONESIA,0,0,"5,025,491","64,792,776","126,994,618","71,981,058","89,573,657","68,337,960","71,656,831","105,148,878","114,366,189","98,928,016","99,404,788","113,128,162","105,120,923","112,622,797","115,336,082","168,095,107","302,595,880","394,255,731","415,432,920","467,502,412","600,486,007","524,813,986","670,504,699","1,195,941,522","1,048,942,972","1,092,511,480","1,132,182,387","1,049,123,466","1,633,934,418","1,497,402,284","1,587,756,324","1,540,574,163","2,223,243,940","3,701,890,210","5,300,699,484","5,369,092,512","4,368,108,339"
